id,file,labels
0130,DecentralizedAnonymousFreelance.sol,"[0, 0, 0]"
0131,DecentralizedPassport.sol,"[0, 0, 0]"
0132,DeFiConfidentialBridge.sol,"[0, 0, 0]"
0133,DeFiConfidentialFuturesClearing.sol,"[0, 0, 0]"
0134,DeFiConfidentialLiquidityPool.sol,"[0, 0, 0]"
0135,DeFiConfidentialStablecoinPeg.sol,"[0, 0, 0]"
0136,DeFiDarkPoolSwap.sol,"[0, 0, 0]"
0137,DeFiEncryptedGaugeController.sol,"[0, 0, 0]"
0138,DeFiEncryptedInsurancePremium.sol,"[0, 0, 0]"
0139,DeFiEncryptedOptionsMarketMaker.sol,"[0, 0, 0]"
0140,DeFiEncryptedPerpetualFuturesProtocol.sol,"[0, 0, 0]"
0141,DeFiEncryptedRebalancer.sol,"[0, 0, 0]"
0142,DeFiEncryptedStructuredProduct.sol,"[0, 0, 0]"
0143,DeFiPrivateCreditFacility.sol,"[0, 0, 0]"
0144,DeFiPrivateOptionsVault.sol,"[0, 0, 0]"
0145,DeFiPrivateRevenueSplit.sol,"[0, 0, 0]"
0146,DeFiPrivateStructuredProduct.sol,"[0, 0, 0]"
0147,DeFiPrivateSyntheticAsset.sol,"[0, 0, 0]"
0148,DeFiPrivateVault.sol,"[0, 0, 0]"
0149,DeFiPrivateYieldAggregator.sol,"[0, 0, 0]"
0150,EducationPrivateCredential.sol,"[0, 0, 0]"
0151,EmberCoinToken.sol,"[0, 0, 0]"
0152,EmploymentCredentialNFT.sol,"[0, 0, 0]"
0153,EncryptedAcademicDegree.sol,"[0, 0, 0]"
0154,EncryptedAccessControlRBACWithTimelock.sol,"[0, 0, 0]"
0155,EncryptedAgriculturalInputSubsidy.sol,"[0, 0, 0]"
0156,EncryptedAgricultureCropInsurance.sol,"[0, 0, 0]"
0157,EncryptedAIModelMarketplace.sol,"[0, 0, 0]"
0158,EncryptedAircraftEngineLeasePortfolio.sol,"[0, 0, 0]"
0159,EncryptedAircraftEngineLeaseTracker.sol,"[0, 0, 0]"
0160,EncryptedAircraftLeaseFinancing.sol,"[0, 0, 0]"
0161,EncryptedAircraftLeasePortfolio.sol,"[0, 0, 0]"
0162,EncryptedAircraftMaintenanceBid.sol,"[0, 0, 0]"
0163,EncryptedAirdropDistributor.sol,"[0, 0, 0]"
0164,EncryptedAlgorithmicStablecoin.sol,"[0, 0, 0]"
0165,EncryptedAnonymousCrisisSupportFund.sol,"[0, 0, 0]"
0166,EncryptedAnonymousWhistleblowerRewardScheme.sol,"[0, 0, 0]"
0167,EncryptedAthleteSponsorshipToken.sol,"[0, 0, 0]"
0168,EncryptedAutomotiveLeaseResidualValueGuarantee.sol,"[0, 0, 0]"
0169,EncryptedBalanceERC20WithVesting.sol,"[0, 0, 0]"
0170,EncryptedBiogasPlantEnergyCertificate.sol,"[0, 0, 0]"
0171,EncryptedBiomedicalDataMarket.sol,"[0, 0, 0]"
0172,EncryptedBiometricAccessControl.sol,"[0, 0, 0]"
0173,EncryptedBiometricAccessVault.sol,"[0, 0, 0]"
0174,EncryptedBlackjackCardGame.sol,"[0, 0, 0]"
0175,EncryptedBlindBidAuctionHouse.sol,"[0, 0, 0]"
0176,EncryptedBlindDutchAuction.sol,"[0, 0, 0]"
0177,EncryptedBlindSpeedDatingGame.sol,"[0, 0, 0]"
0178,EncryptedBuildingAccessControl.sol,"[0, 0, 0]"
0179,EncryptedCarbonBorderAdjustmentMechanism.sol,"[0, 0, 0]"
0180,EncryptedCarbonBudgetRegistry.sol,"[0, 0, 0]"
0181,EncryptedCarbonCaptureCredit.sol,"[0, 0, 0]"
0182,EncryptedCarbonCredit.sol,"[0, 0, 0]"
0183,EncryptedCarbonCreditForwardContract.sol,"[0, 0, 0]"
0184,EncryptedCarbonCreditMarket.sol,"[0, 0, 0]"
0185,EncryptedCarbonEmissionsTrading.sol,"[0, 0, 0]"
0186,EncryptedCarbonSequestrationVerification.sol,"[0, 0, 0]"
0187,EncryptedCarbonTaxObligationRegistry.sol,"[0, 0, 0]"
0188,EncryptedCattleRanchingFuturesMarket.sol,"[0, 0, 0]"
0189,EncryptedCentralBankDigitalCurrency.sol,"[0, 0, 0]"
0190,EncryptedCentralBankReserveAudit.sol,"[0, 0, 0]"
0191,EncryptedChessRating.sol,"[0, 0, 0]"
0192,EncryptedChessWager.sol,"[0, 0, 0]"
0193,EncryptedChildSupportEscrow.sol,"[0, 0, 0]"
0194,EncryptedClinicalPharmacogenomics.sol,"[0, 0, 0]"
0195,EncryptedClinicalTrialDataConsortium.sol,"[0, 0, 0]"
0196,EncryptedCombatSportsWagerEscrow.sol,"[0, 0, 0]"
0197,EncryptedCommoditySpotExchange.sol,"[0, 0, 0]"
0198,EncryptedCommunityDevelopmentFinance.sol,"[0, 0, 0]"
0199,EncryptedCommunityTreasury.sol,"[0, 0, 0]"
0200,EncryptedCommunityVotingDAO.sol,"[0, 0, 0]"
0201,EncryptedCorporateBoardVoting.sol,"[0, 0, 0]"
0202,EncryptedCorporateMAndADueDiligence.sol,"[0, 0, 0]"
0203,EncryptedCoveredBondIssuance.sol,"[0, 0, 0]"
0206,EncryptedCreditScoreOracle.sol,"[0, 0, 0]"
0204,EncryptedCreditScore_b11_002.sol,"[0, 0, 0]"
0205,EncryptedCreditScore_b4_002.sol,"[0, 0, 0]"
0207,EncryptedCrossChainAtomicSwap.sol,"[0, 0, 0]"
0208,EncryptedCrossChainForexSettlement.sol,"[0, 0, 0]"
0209,EncryptedCrossChainLiquidityBridge.sol,"[0, 0, 0]"
0210,EncryptedCrowdfundedInfrastructureBond.sol,"[0, 0, 0]"
0211,EncryptedCrowdfundingLaunchpad.sol,"[0, 0, 0]"
0212,EncryptedCrowdfundingVault.sol,"[0, 0, 0]"
0213,EncryptedCryptocurrencyExchangeAML.sol,"[0, 0, 0]"
0214,EncryptedCryptocurrencyOTCDealerBook.sol,"[0, 0, 0]"
0215,EncryptedCryptoDerivativesExchange.sol,"[0, 0, 0]"
0216,EncryptedCryptoExchangeMarginEngine.sol,"[0, 0, 0]"
0217,EncryptedCyberInsurancePolicyUnderwriting.sol,"[0, 0, 0]"
0218,EncryptedCyberInsuranceRiskPool.sol,"[0, 0, 0]"
0219,EncryptedCyberInsuranceUnderwriting.sol,"[0, 0, 0]"
0220,EncryptedCybersecurityBugBounty.sol,"[0, 0, 0]"
0221,EncryptedDebtRestructuringNegotiation.sol,"[0, 0, 0]"
0222,EncryptedDecentralizedAnonymousSurvey.sol,"[0, 0, 0]"
0223,EncryptedDecentralizedCreditBureau.sol,"[0, 0, 0]"
0224,EncryptedDecentralizedIdentityRegistry.sol,"[0, 0, 0]"
0225,EncryptedDecentralizedScienceFundingDAO.sol,"[0, 0, 0]"
0226,EncryptedDeFiCrossChainBridgeCompliance.sol,"[0, 0, 0]"
0227,EncryptedDiceRollingGame.sol,"[0, 0, 0]"
0228,EncryptedDigitalMediaRightsMarket.sol,"[0, 0, 0]"
0229,EncryptedDistrictHeatingNetworkBid.sol,"[0, 0, 0]"
0230,EncryptedDrugCounterfeitDetection.sol,"[0, 0, 0]"
0231,EncryptedDrugPricingNegotiation.sol,"[0, 0, 0]"
0232,EncryptedDrugSafetyPhaseIITrial.sol,"[0, 0, 0]"
0233,EncryptedDutchAuction_b9_003.sol,"[0, 0, 0]"
0234,EncryptedElderCareHomePlacementFund.sol,"[0, 0, 0]"
0235,EncryptedElectionBallotSystem.sol,"[0, 0, 0]"
0236,EncryptedElectionVoterRegistrar.sol,"[0, 0, 0]"
0237,EncryptedElectricityGridBalancing.sol,"[0, 0, 0]"
0238,EncryptedEmploymentRecord.sol,"[0, 0, 0]"
0239,EncryptedEscrowService.sol,"[0, 0, 0]"
0240,EncryptedEsportsOrganizationContract.sol,"[0, 0, 0]"
0241,EncryptedEsportsTournamentStaking.sol,"[0, 0, 0]"
0242,EncryptedEsportsWager.sol,"[0, 0, 0]"
0243,EncryptedEVChargingMarket.sol,"[0, 0, 0]"
0244,EncryptedFactoringPlatformReceivables.sol,"[0, 0, 0]"
0245,EncryptedFisheryQuotaTrading.sol,"[0, 0, 0]"
0246,EncryptedFishingQuotaTrading.sol,"[0, 0, 0]"
0247,EncryptedFlightDelayInsurance copy.sol,"[0, 0, 0]"
0248,EncryptedFlightDelayInsurance.sol,"[0, 0, 0]"
0249,EncryptedFoodBankAllocationSystem.sol,"[0, 0, 0]"
0250,EncryptedFoodFranchiseeRoyaltyCalculation.sol,"[0, 0, 0]"
0251,EncryptedFoodSafetyAudit.sol,"[1, 0, 0]"
0252,EncryptedFoodSupplyChainTraceability.sol,"[1, 0, 0]"
0253,EncryptedFractionalRealEstateInvestment.sol,"[1, 0, 0]"
0254,EncryptedFranchiseRoyalty.sol,"[1, 0, 0]"
0255,EncryptedGeneticLineageNFTRoyalty.sol,"[1, 0, 0]"
0256,EncryptedGovernanceTimelockProposal.sol,"[1, 0, 0]"
0257,EncryptedHealthInsuranceClaims.sol,"[1, 0, 0]"
0258,EncryptedHealthInsurancePool.sol,"[1, 0, 0]"
0259,EncryptedHedgeFundPortfolioManager.sol,"[1, 0, 0]"
0260,EncryptedHighSpeedRailCapacityBidding.sol,"[1, 0, 0]"
0261,EncryptedHighwayConstructionBid.sol,"[1, 0, 0]"
0262,EncryptedHospitalBillingAdjudicator.sol,"[1, 0, 0]"
0263,EncryptedHospitalityRevenueManagement.sol,"[1, 0, 0]"
0264,EncryptedInfrastructurePPP.sol,"[1, 0, 0]"
0265,EncryptedInsiderTradingComplianceSystem.sol,"[1, 0, 0]"
0266,EncryptedInsiderTradingMonitor.sol,"[1, 0, 0]"
0268,EncryptedInsuranceClaim.sol,"[1, 0, 0]"
0267,EncryptedInsurance_b5_005.sol,"[1, 0, 0]"
0269,EncryptedInterBankSettlement.sol,"[1, 0, 0]"
0270,EncryptedInterestRateSwap.sol,"[1, 0, 0]"
0271,EncryptedInternationalStudentScholarshipBidding.sol,"[1, 0, 0]"
0272,EncryptedKYCRegistry.sol,"[1, 0, 0]"
0273,EncryptedLaborUnionWageNegotiation.sol,"[1, 0, 0]"
0274,EncryptedLandRegistryTitle.sol,"[1, 0, 0]"
0275,EncryptedLegalEscrowSettlement.sol,"[1, 0, 0]"
0276,EncryptedLiquidationEngine.sol,"[1, 0, 0]"
0277,EncryptedLiquidityPool.sol,"[1, 0, 0]"
0278,EncryptedLiquidityPoolAMM.sol,"[1, 0, 0]"
0279,EncryptedLithiumBatterySupplyChain.sol,"[1, 0, 0]"
0280,EncryptedLotteryRandomDraw.sol,"[1, 0, 0]"
0281,EncryptedLuxuryWatchAuthentication.sol,"[1, 0, 0]"
0282,EncryptedMarineInsuranceCargoHull.sol,"[1, 0, 0]"
0283,EncryptedMediaRatingAgency.sol,"[1, 0, 0]"
0284,EncryptedMedicalDeviceLifecycleCompliance.sol,"[1, 0, 0]"
0285,EncryptedMedicalImagingDataLicense.sol,"[1, 0, 0]"
0286,EncryptedMedicalRecords_b10_003.sol,"[1, 0, 0]"
0287,EncryptedMicrofinanceCooperative.sol,"[1, 0, 0]"
0288,EncryptedMilitarySupplyChain.sol,"[1, 0, 0]"
0289,EncryptedMiningPoolRewards.sol,"[1, 0, 0]"
0290,EncryptedMortgageOrigination.sol,"[1, 0, 0]"
0291,EncryptedMortgagePoolSecuritization.sol,"[1, 0, 0]"
0292,EncryptedMultiSigAccessControl.sol,"[1, 0, 0]"
0293,EncryptedMunicipalBondIssuance.sol,"[1, 0, 0]"
0294,EncryptedMutualInsFund.sol,"[1, 0, 0]"
0295,EncryptedMutualInsurance.sol,"[1, 0, 0]"
0296,EncryptedNationalIntelligenceContractBid.sol,"[1, 0, 0]"
0297,EncryptedNationalSovereignReserveFund.sol,"[1, 0, 0]"
0298,EncryptedNaturalGasPipelineCapacity.sol,"[1, 0, 0]"
0299,EncryptedNFTRoyaltyAuction.sol,"[1, 0, 0]"
0300,EncryptedNFTRoyaltyDistribution.sol,"[1, 0, 0]"
0301,EncryptedNFTRoyaltySplitter.sol,"[1, 0, 0]"
0302,EncryptedNuclearFuelCycleContract.sol,"[1, 0, 0]"
0303,EncryptedNuclearFuelCycleManagement.sol,"[1, 0, 0]"
0304,EncryptedNuclearFuelCycleTracker.sol,"[1, 0, 0]"
0305,EncryptedNuclearWasteManagement.sol,"[1, 0, 0]"
0306,EncryptedNuclearWasteTracking.sol,"[1, 0, 0]"
0307,EncryptedNumberMatch.sol,"[1, 0, 0]"
0308,EncryptedP2PBetting.sol,"[1, 0, 0]"
0309,EncryptedParametricFloodInsurance.sol,"[1, 0, 0]"
0311,EncryptedPayrollToken.sol,"[1, 0, 0]"
0310,EncryptedPayroll_b11_003.sol,"[1, 0, 0]"
0312,EncryptedPeerReviewJournal.sol,"[1, 0, 0]"
0313,EncryptedPharmaceuticalTender.sol,"[1, 0, 0]"
0314,EncryptedPharmacyBenefitManager.sol,"[1, 0, 0]"
0315,EncryptedPharmaPatentLicensing.sol,"[1, 0, 0]"
0316,EncryptedPokerCardGameRNG.sol,"[1, 0, 0]"
0317,EncryptedPredictionMarket.sol,"[1, 0, 0]"
0318,EncryptedPredictionMarketDecentralized.sol,"[1, 0, 0]"
0319,EncryptedPredictionMarketResolution.sol,"[1, 0, 0]"
0320,EncryptedPrisonInmateRehabilitation.sol,"[1, 0, 0]"
0321,EncryptedPrisonRehabilitation.sol,"[1, 0, 0]"
0322,EncryptedPrivateBankingWealth.sol,"[1, 0, 0]"
0323,EncryptedPrivateBankWealth.sol,"[1, 0, 0]"
0324,EncryptedPrivateElderCareAllotment.sol,"[1, 0, 0]"
0325,EncryptedPrivateEquityPortfolioValuation.sol,"[1, 0, 0]"
0326,EncryptedPrivateEquitySecondary.sol,"[1, 0, 0]"
0327,EncryptedPrivateEquityVehicle.sol,"[1, 0, 0]"
0328,EncryptedPrivateFundraiserCampaign.sol,"[1, 0, 0]"
0329,EncryptedPrivateMembershipClub.sol,"[1, 0, 0]"
0330,EncryptedPrivateMessageBoard.sol,"[1, 0, 0]"
0331,EncryptedPrivatePensionFundManager.sol,"[1, 0, 0]"
0332,EncryptedPrivatePlacementMemorandum.sol,"[1, 0, 0]"
0333,EncryptedPrivatePokerChip.sol,"[1, 0, 0]"
0334,EncryptedPrivateSurveyResults.sol,"[1, 0, 0]"
0335,EncryptedPrivateTaxAuthorityAuditFlag.sol,"[1, 0, 0]"
0336,EncryptedQuadraticVotingProtocol.sol,"[1, 0, 0]"
0337,EncryptedQuantumComputingAccessCredit.sol,"[1, 0, 0]"
0338,EncryptedQuantumSafeCustodyVault.sol,"[1, 0, 0]"
0339,EncryptedRacetrackBettingPool.sol,"[1, 0, 0]"
0340,EncryptedRandomizedClinicalTrial.sol,"[1, 0, 0]"
0341,EncryptedRandomnessLotteryPool.sol,"[1, 0, 0]"
0342,EncryptedRareEarthMineralCertificate.sol,"[1, 0, 0]"
0343,EncryptedRealEstate_b8_003.sol,"[1, 0, 0]"
0344,EncryptedReferendumVoting.sol,"[1, 0, 0]"
0345,EncryptedRenewableEnergyCertificate.sol,"[1, 0, 0]"
0346,EncryptedRetailLoyaltyCashback.sol,"[1, 0, 0]"
0347,EncryptedRetirementPensionAnnuity.sol,"[1, 0, 0]"
0348,EncryptedRewardEscrow.sol,"[1, 0, 0]"
0349,EncryptedRockPaperScissorsGame.sol,"[1, 0, 0]"
0350,EncryptedRoleBasedAccess.sol,"[1, 0, 0]"
0351,EncryptedRoleManager_b13_003.sol,"[1, 0, 0]"
0352,EncryptedRoyaltyDistribution.sol,"[1, 0, 0]"
0353,EncryptedScavengerHunt.sol,"[1, 0, 0]"
0354,EncryptedSealedbidTenderPlatform.sol,"[1, 0, 0]"
0355,EncryptedShareBuyback.sol,"[1, 0, 0]"
0356,EncryptedShipwreckSalvageRights.sol,"[1, 0, 0]"
0357,EncryptedSoccerAthleteTransferMarket.sol,"[1, 0, 0]"
0358,EncryptedSocialImpactBond.sol,"[1, 0, 0]"
0359,EncryptedSocialWelfareDistribution.sol,"[1, 0, 0]"
0360,EncryptedSoftwareLicense.sol,"[1, 0, 0]"
0361,EncryptedSovereignCreditDefaultSwap.sol,"[1, 0, 0]"
0362,EncryptedSovereignDebtAuction.sol,"[1, 0, 0]"
0363,EncryptedSovereignDebtRestructuring.sol,"[1, 0, 0]"
0364,EncryptedSovereignWealthFundESG.sol,"[1, 0, 0]"
0365,EncryptedSpaceDebrisRemovalBounty.sol,"[1, 0, 0]"
0366,EncryptedSpaceSatelliteDataMarket.sol,"[1, 0, 0]"
0367,EncryptedSportsBettingExchange.sol,"[1, 0, 0]"
0368,EncryptedSportsDraftFantasy.sol,"[1, 0, 0]"
0369,EncryptedSportsTransferFeeEscrow.sol,"[1, 0, 0]"
0370,EncryptedSportsTransferMarket.sol,"[1, 0, 0]"
0371,EncryptedStablecoin.sol,"[1, 0, 0]"
0372,EncryptedStartupEquityPool.sol,"[1, 0, 0]"
0373,EncryptedStudentLoanScheme.sol,"[1, 0, 0]"
0374,EncryptedSubscriptions_b11_007.sol,"[1, 0, 0]"
0376,EncryptedSupplyChainCarbonFootprintTracker.sol,"[1, 0, 0]"
0377,EncryptedSupplyChainInvoiceFactoring.sol,"[1, 0, 0]"
0378,EncryptedSupplyChainToken_b12_005.sol,"[1, 0, 0]"
0375,EncryptedSupplyChain_b7_002.sol,"[1, 0, 0]"
0379,EncryptedSyndicatedLoan.sol,"[1, 0, 0]"
0380,EncryptedTaxiFleetDynamicPricing.sol,"[1, 0, 0]"
0381,EncryptedTelemedicineConsultationFee.sol,"[1, 0, 0]"
0382,EncryptedTimberHarvestLicensing.sol,"[1, 0, 0]"
0383,EncryptedTimelockGovernanceVault.sol,"[1, 0, 0]"
0384,EncryptedTokenStream.sol,"[1, 0, 0]"
0385,EncryptedTollRoadCongestionPricing.sol,"[1, 0, 0]"
0386,EncryptedTradeFinanceLetterOfCredit.sol,"[1, 0, 0]"
0387,EncryptedTradeSecretAuction.sol,"[1, 0, 0]"
0388,EncryptedTreasureHunt.sol,"[1, 0, 0]"
0389,EncryptedUndergroundMiningRoyalty.sol,"[1, 0, 0]"
0390,EncryptedUniversalBasicEquity.sol,"[1, 0, 0]"
0391,EncryptedUniversityEndowmentFund.sol,"[1, 0, 0]"
0392,EncryptedUniversityResearchGrant.sol,"[1, 0, 0]"
0393,EncryptedUrbanDataMonetization.sol,"[1, 0, 0]"
0394,EncryptedVaultedGoldBacking.sol,"[1, 0, 0]"
0395,EncryptedVentureCapitalFundToken.sol,"[1, 0, 0]"
0396,EncryptedVentureDebtTermLoan.sol,"[1, 0, 0]"
0397,EncryptedVoterRegistration.sol,"[1, 0, 0]"
0398,EncryptedVoting.sol,"[1, 0, 0]"
0399,EncryptedWaterRightsTrading.sol,"[1, 0, 0]"
0400,EncryptedWealthTaxRegistration.sol,"[1, 0, 0]"
0401,EncryptedWeatherDerivative.sol,"[0, 1, 0]"
0402,EncryptedWhistleblowerBounty.sol,"[0, 1, 0]"
0403,EncryptedWholeGenomeDataBroker.sol,"[0, 1, 0]"
0404,EncryptedWildernessConservationCarbonCredit.sol,"[0, 1, 0]"
0405,EncryptedWildlifeConservationBond.sol,"[0, 1, 0]"
0406,EncryptedWillExecution.sol,"[0, 1, 0]"
0407,EncryptedWillExecutor.sol,"[0, 1, 0]"
0408,EncryptedYieldFarm.sol,"[0, 1, 0]"
0409,EncryptedYieldFarming.sol,"[0, 1, 0]"
0410,EncryptedYieldOptimizer.sol,"[0, 1, 0]"
